strategy,game_number,target_word,tier,won,attempts,total_reward,guess_1,feedback_1,hamming_1,levenshtein_1,guess_2,feedback_2,hamming_2,levenshtein_2,guess_3,feedback_3,hamming_3,levenshtein_3,guess_4,feedback_4,hamming_4,levenshtein_4,guess_5,feedback_5,hamming_5,levenshtein_5,guess_6,feedback_6,hamming_6,levenshtein_6,candidates_before_1,candidates_after_1,reduction_rate_1,candidates_before_2,candidates_after_2,reduction_rate_2,candidates_before_3,candidates_after_3,reduction_rate_3,candidates_before_4,candidates_after_4,reduction_rate_4,candidates_before_5,candidates_after_5,reduction_rate_5,candidates_before_6,candidates_after_6,reduction_rate_6
pure_random,37,COLES,2,False,7,-10.0,CANAL,G---Y,4,4,PLINY,-Y---,5,5,GASOL,--YYY,5.0,5.0,TRANS,----G,4.0,4.0,BENCH,-Y-Y-,5.0,5.0,BUSTS,----G,4.0,4.0,5629,43,99.236098774205,43,13,69.76744186046511,13,4,69.23076923076923,4,3,25.0,3,1,66.66666666666666,1,1,0.0
pure_random,38,HWANG,2,False,7,-10.0,AVERY,Y----,5,5,CONGO,--YY-,5,4,TWEET,-G---,4.0,4.0,GUISE,Y----,5.0,5.0,FEUDS,-----,5.0,5.0,WHIPS,YY---,5.0,5.0,5629,774,86.24977793569018,774,27,96.51162790697676,27,2,92.5925925925926,2,2,0.0,2,2,0.0,2,1,50.0
pure_random,39,WRATH,2,False,7,-10.0,TELUS,Y----,5,5,STUNG,-Y---,5,5,FABER,-Y--Y,5.0,5.0,FIFTH,---GG,3.0,3.0,GAVEL,-Y---,5.0,5.0,DRIPS,-G---,4.0,4.0,5629,195,96.53579676674366,195,127,34.87179487179487,127,10,92.1259842519685,10,1,90.0,1,1,0.0,1,1,0.0
pure_random,40,MACHO,2,False,7,-10.0,SALIM,-G--Y,4,4,MACAO,GGG-G,1,1,CAMPO,YGY-G,3.0,3.0,ANGIE,Y----,5.0,5.0,TEXAS,---Y-,5.0,5.0,VROOM,--Y-Y,5.0,5.0,5629,95,98.31231124533664,95,2,97.89473684210527,2,2,0.0,2,2,0.0,2,2,0.0,2,1,50.0
pure_random,41,LOPEZ,2,False,7,-10.0,SUGAR,-----,5,5,FATAL,----Y,5,5,YEMEN,---G-,4.0,4.0,BEACH,-Y---,5.0,5.0,ABORT,--Y--,5.0,5.0,SAHIB,-----,5.0,5.0,5629,747,86.7294368449103,747,177,76.30522088353415,177,10,94.35028248587571,10,8,20.0,8,3,62.5,3,2,33.33333333333333
pure_random,42,GOODY,2,False,7,-10.0,SYNOD,-Y-YY,5,4,HAULS,-----,5,5,PICKS,-----,5.0,5.0,SCANS,-----,5.0,5.0,COMBS,-G---,4.0,4.0,AIDED,--Y--,5.0,5.0,5629,24,99.57363652513767,24,16,33.33333333333333,16,14,12.5,14,14,0.0,14,11,21.428571428571427,11,9,18.181818181818183
pure_random,43,BROTH,2,False,7,-10.0,KEANU,-----,5,5,SHELF,-Y---,5,5,BEACH,G---G,3.0,3.0,GAZED,-----,5.0,5.0,SARIN,--Y--,5.0,5.0,CUSHY,---Y-,5.0,5.0,5629,638,88.66583762657666,638,46,92.78996865203762,46,3,93.47826086956522,3,3,0.0,3,1,66.66666666666666,1,1,0.0
pure_random,44,VERDE,2,False,7,-10.0,HECHT,-G---,4,4,MUSIC,-----,5,5,TWEEN,--YY-,5.0,5.0,LIEUT,--Y--,5.0,5.0,GERRY,-GG--,3.0,3.0,NUDGE,--Y-G,4.0,4.0,5629,422,92.50310890033754,422,165,60.90047393364929,165,13,92.12121212121212,13,6,53.84615384615385,6,2,66.66666666666666,2,1,50.0
pure_random,45,TAMED,2,False,7,-10.0,BABES,-G-G-,3,3,TUMOR,G-G--,3,3,GLARE,--Y-Y,5.0,4.0,IMRAN,-Y-Y-,5.0,5.0,BOATS,--YY-,5.0,5.0,PEASY,-YY--,5.0,5.0,5629,136,97.58394030911352,136,1,99.26470588235294,1,1,0.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,46,LEAFS,2,False,7,-10.0,CHICA,----Y,5,5,POPPA,----Y,5,5,JOSIE,--Y-Y,5.0,5.0,NAIVE,-Y--Y,5.0,5.0,GATES,-Y-YG,4.0,4.0,TACIT,-Y---,5.0,5.0,5629,1188,78.89500799431516,1188,833,29.882154882154882,833,127,84.75390156062424,127,52,59.055118110236215,52,24,53.84615384615385,24,24,0.0
pure_random,47,YACHT,2,False,7,-10.0,SHALE,-YY--,5,5,CAKES,YG---,4,4,RUMOR,-----,5.0,5.0,FARTS,-G-Y-,4.0,4.0,BONES,-----,5.0,5.0,CELTS,Y--Y-,5.0,5.0,5629,95,98.31231124533664,95,12,87.36842105263159,12,5,58.333333333333336,5,5,0.0,5,4,20.0,4,4,0.0
pure_random,48,MESSY,2,False,7,-10.0,LOVES,---YY,5,5,GIPSY,---GG,3,3,GLEAN,--Y--,5.0,5.0,INTEL,---Y-,5.0,5.0,CASKS,--G-Y,4.0,4.0,SIMBA,Y-Y--,5.0,5.0,5629,164,97.08651625510748,164,2,98.78048780487805,2,2,0.0,2,1,50.0,1,1,0.0,1,1,0.0
pure_random,49,RYDER,2,False,7,-10.0,FLAGG,-----,5,5,DOERS,Y-YY-,5,4,CORSO,--Y--,5.0,5.0,FUNNY,----Y,5.0,5.0,DUNNO,Y----,5.0,5.0,COMET,---G-,4.0,4.0,5629,1918,65.92645230058625,1918,25,98.69655891553701,25,12,52.0,12,1,91.66666666666666,1,1,0.0,1,1,0.0
pure_random,50,MOTIF,2,False,7,-10.0,MIAMI,GY---,4,4,WELLS,-----,5,5,SPRAY,-----,5.0,5.0,HIKED,-Y---,5.0,5.0,ATOLL,-YY--,5.0,5.0,LOOSE,-G---,4.0,4.0,5629,11,99.80458340735477,11,3,72.72727272727273,3,2,33.33333333333333,2,2,0.0,2,1,50.0,1,1,0.0
pure_random,51,RAVEN,2,False,7,-10.0,HAVRE,-GGYY,3,3,CALIF,-G---,4,4,BOOBS,-----,5.0,5.0,LYCRA,---YY,5.0,5.0,FABER,-G-GY,3.0,3.0,SISSY,-----,5.0,5.0,5629,6,99.89340913128441,6,4,33.33333333333333,4,2,50.0,2,2,0.0,2,1,50.0,1,1,0.0
pure_random,52,REICH,2,False,7,-10.0,MOORE,---YY,5,5,TULLY,-----,5,5,STOWE,----Y,5.0,5.0,SLADE,----Y,5.0,5.0,BILLY,-Y---,5.0,5.0,CRORE,YY--Y,5.0,5.0,5629,402,92.85841179605615,402,218,45.77114427860697,218,122,44.03669724770643,122,43,64.75409836065575,43,11,74.4186046511628,11,1,90.9090909090909
pure_random,53,ICONS,2,False,7,-10.0,RATIO,---YY,5,5,GATOR,---Y-,5,5,MINOT,-YYY-,5.0,4.0,SLICK,Y-YY-,5.0,5.0,MOMMA,-Y---,5.0,5.0,ETHYL,-----,5.0,5.0,5629,62,98.89856102327234,62,39,37.096774193548384,39,8,79.48717948717949,8,1,87.5,1,1,0.0,1,1,0.0
pure_random,54,SILKY,2,False,7,-10.0,SILLS,GGG--,2,2,WHOOP,-----,5,5,WEIBO,--Y--,5.0,5.0,DINED,-G---,4.0,4.0,BERYL,---YY,5.0,5.0,JAVED,-----,5.0,5.0,5629,2,99.96446971042813,2,2,0.0,2,2,0.0,2,2,0.0,2,1,50.0,1,1,0.0
pure_random,55,CARVE,2,False,7,-10.0,MASSA,-G---,4,4,PLATO,--Y--,5,5,FLOOR,----Y,5.0,5.0,NAIVE,-G-GG,2.0,2.0,GRIST,-Y---,5.0,5.0,LAGER,-G-YY,4.0,4.0,5629,439,92.20110143897674,439,171,61.04783599088838,171,51,70.17543859649122,51,1,98.0392156862745,1,1,0.0,1,1,0.0
pure_random,56,LAGER,2,False,7,-10.0,LOADS,G-Y--,4,4,DAVIS,-G---,4,4,LIBRE,G--YY,4.0,4.0,TOPPS,-----,5.0,5.0,USUAL,---YY,5.0,5.0,GAMES,YG-G-,3.0,3.0,5629,58,98.96962160241605,58,31,46.55172413793103,31,6,80.64516129032258,6,5,16.666666666666664,5,4,20.0,4,1,75.0
pure_random,57,JERKS,2,False,7,-10.0,CHORE,---YY,5,5,CRYPT,-Y---,5,5,DOCKS,---GG,3.0,3.0,CLOUT,-----,5.0,5.0,VIOLA,-----,5.0,5.0,DONOR,----Y,5.0,5.0,5629,366,93.49795700834962,366,191,47.81420765027322,191,3,98.42931937172776,3,3,0.0,3,3,0.0,3,3,0.0
pure_random,58,LOTUS,2,False,7,-10.0,SADLY,Y--Y-,5,5,FINER,-----,5,5,TANDY,Y----,5.0,5.0,EXPEL,----Y,5.0,5.0,PURSE,-Y-Y-,5.0,5.0,ROQUE,-G-G-,3.0,3.0,5629,131,97.67276603304317,131,32,75.57251908396947,32,7,78.125,7,6,14.285714285714285,6,1,83.33333333333334,1,1,0.0
pure_random,59,LACEY,2,False,7,-10.0,CRASS,Y-Y--,5,5,LEAVE,GYY--,4,3,LAYLA,GGY--,3.0,3.0,REEKS,-Y---,5.0,5.0,LUZON,G----,4.0,4.0,IRISH,-----,5.0,5.0,5629,76,98.64984899626931,76,2,97.36842105263158,2,1,50.0,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,60,TUDOR,2,False,7,-10.0,LENIN,-----,5,5,HOYER,-Y--G,4,4,SHOVE,--Y--,5.0,5.0,SONJA,-Y---,5.0,5.0,OUIJA,YG---,4.0,4.0,KYUNG,--Y--,5.0,5.0,5629,1047,81.39989340913128,1047,24,97.70773638968481,24,15,37.5,15,6,60.0,6,4,33.33333333333333,4,4,0.0
pure_random,61,QUOTA,2,False,7,-10.0,SPOCK,--G--,4,4,HELPS,-----,5,5,VODKA,-Y--G,4.0,4.0,SITKA,--Y-G,4.0,4.0,WHICH,-----,5.0,5.0,TELLS,Y----,5.0,5.0,5629,147,97.38852371646828,147,53,63.94557823129252,53,5,90.56603773584906,5,1,80.0,1,1,0.0,1,1,0.0
pure_random,62,MOURN,2,False,7,-10.0,FOLEY,-G---,4,4,LINDE,--Y--,5,5,STOUT,--YY-,5.0,4.0,WIGHT,-----,5.0,5.0,APART,---G-,4.0,4.0,ZHENG,---Y-,5.0,5.0,5629,322,94.27962337893054,322,44,86.33540372670807,44,1,97.72727272727273,1,1,0.0,1,1,0.0,1,1,0.0
pure_random,63,PROMO,2,False,7,-10.0,MILFS,Y----,5,5,SUPER,--Y-Y,5,5,BIKER,----Y,5.0,5.0,BULBS,-----,5.0,5.0,DJING,-----,5.0,5.0,SPENT,-Y---,5.0,5.0,5629,158,97.19310712382307,158,4,97.46835443037975,4,4,0.0,4,4,0.0,4,4,0.0,4,3,25.0
pure_random,64,CASTE,2,False,7,-10.0,FORZA,----Y,5,5,ARABS,Y---Y,5,5,SETUP,YYY--,5.0,5.0,BABES,-G-YY,4.0,4.0,FEDOR,-Y---,5.0,5.0,QUOTA,---GY,4.0,4.0,5629,1069,81.00906022384082,1069,84,92.1421889616464,84,4,95.23809523809523,4,4,0.0,4,4,0.0,4,4,0.0
pure_random,65,CAPRI,2,False,7,-10.0,FISTS,-Y---,5,5,MOVED,-----,5,5,HARDY,-GY--,4.0,4.0,LOVER,----Y,5.0,5.0,KAROL,-GY--,4.0,4.0,MORIN,--YY-,5.0,4.0,5629,494,91.22401847575058,494,122,75.30364372469636,122,9,92.62295081967213,9,7,22.22222222222222,7,7,0.0,7,2,71.42857142857143
pure_random,66,ALIAS,2,False,7,-10.0,SKIFF,Y-G--,4,4,FRUIT,---Y-,5,5,HOWDY,-----,5.0,5.0,RIDES,-Y--G,4.0,4.0,ROGEN,-----,5.0,5.0,CHIPS,--G-G,3.0,3.0,5629,111,98.02806892876177,111,50,54.95495495495496,50,24,52.0,24,12,50.0,12,8,33.33333333333333,8,6,25.0
pure_random,67,PADDY,2,False,7,-10.0,ELLEN,-----,5,5,BLANC,--Y--,5,5,HOUGH,-----,5.0,5.0,HORSE,-----,5.0,5.0,GRONK,-----,5.0,5.0,ROUND,----Y,5.0,5.0,5629,1545,72.55285130573814,1545,389,74.8220064724919,389,177,54.498714652956295,177,46,74.01129943502825,46,40,13.043478260869565,40,13,67.5
pure_random,68,BLOBS,3,False,7,-10.0,HENCE,-----,5,5,CURIE,-----,5,5,HULLS,--Y-G,4.0,4.0,SHERI,Y----,5.0,5.0,KAYAK,-----,5.0,5.0,LAPIS,Y---G,4.0,4.0,5629,1428,74.63137324569196,1428,392,72.54901960784314,392,34,91.3265306122449,34,27,20.588235294117645,27,15,44.44444444444444,15,7,53.333333333333336
pure_random,69,DILLY,3,False,7,-10.0,THUNK,-----,5,5,POLLS,--GG-,3,3,FORAY,----G,4.0,4.0,CLINE,-YY--,5.0,5.0,PRIVY,--Y-G,4.0,4.0,SHEAF,-----,5.0,5.0,5629,1913,66.0152780245159,1913,30,98.43178254051227,30,8,73.33333333333333,8,6,25.0,6,6,0.0,6,6,0.0
pure_random,70,GUTSY,3,False,7,-10.0,RIKER,-----,5,5,DUGAN,-GY--,4,4,LUGER,-GY--,4.0,4.0,DEANE,-----,5.0,5.0,TARIK,Y----,5.0,5.0,OUTRO,-GG--,3.0,3.0,5629,1188,78.89500799431516,1188,9,99.24242424242425,9,6,33.33333333333333,6,6,0.0,6,4,33.33333333333333,4,1,75.0
pure_random,71,TABOR,3,False,7,-10.0,PEONY,--Y--,5,5,BATHS,YGY--,4,4,HOOPS,-Y---,5.0,5.0,QUITE,---Y-,5.0,5.0,TAPED,GG---,3.0,3.0,MAVEN,-G---,4.0,4.0,5629,430,92.3609877420501,430,3,99.30232558139535,3,2,33.33333333333333,2,2,0.0,2,1,50.0,1,1,0.0
