metric,metric_id,approach,rank,count,mean,std,se,ci_95,median,min,max
Search Space Reduction (Round 1),reduction_rate_1,Frontier_LLM,3,100,92.84476666666667,5.143624217505501,0.51436242175055,1.008150346631078,94.22666666666666,78.33,99.73333333333332
Search Space Reduction (Round 1),reduction_rate_1,VOI,4,100,92.70207852193995,7.844901532565478,0.7844901532565478,1.5376007003828336,95.7630129685557,69.62160241605969,99.9467045656422
Search Space Reduction (Round 1),reduction_rate_1,Mid_LLM,5,100,91.97993333333334,5.98279658603725,0.598279658603725,1.172628130863301,93.58666666666666,75.83666666666667,99.93333333333334
Search Space Reduction (Round 1),reduction_rate_1,Small_LLM,6,100,91.49756,4.557479788947689,0.4557479788947689,0.8932660386337471,92.259,79.808,99.226
Search Space Reduction (Round 1),reduction_rate_1,Pure_Random,7,100,91.19257416947949,10.866914364944368,1.0866914364944367,2.129915215529096,96.26043702256175,48.03695150115473,99.96446971042812
Search Space Reduction (Round 1),reduction_rate_1,Random,8,100,91.0218511280867,9.62627531045262,0.962627531045262,1.8867499608487135,94.94581630840293,53.917214425297566,99.98223485521407
Convergence Rate (Hamming/round),convergence_rate,VOI,1,100,1.1544303797468354,0.16220422292477188,0.016220422292477187,0.03179202769325529,1.2658227848101264,0.5063291139240506,1.2658227848101264
Convergence Rate (Hamming/round),convergence_rate,CSS,2,100,1.098984771573604,0.2166127064541156,0.02166127064541156,0.04245609046500666,1.269035532994924,0.2538071065989847,1.269035532994924
Convergence Rate (Hamming/round),convergence_rate,Small_LLM,3,100,1.0657043879907622,0.06424668158002236,0.006424668158002236,0.012592349589684382,1.0623556581986142,0.8314087759815243,1.1547344110854505
Convergence Rate (Hamming/round),convergence_rate,Hybrid,4,100,1.0579389842260358,0.07638039972474205,0.007638039972474205,0.014970558346049441,1.0747096550528688,0.8060322412896516,1.1613797885248742
Convergence Rate (Hamming/round),convergence_rate,Frontier_LLM,5,100,1.0483128834355828,0.120912010201109,0.0120912010201109,0.023698753999417364,1.0736196319018405,0.6134969325153374,1.1503067484662577
Convergence Rate (Hamming/round),convergence_rate,Mid_LLM,6,100,1.0391104294478528,0.10419179117769213,0.010419179117769213,0.02042159107082766,1.0736196319018405,0.4601226993865031,1.1503067484662577
Convergence Rate (Hamming/round),convergence_rate,Random,7,100,0.9890829694323143,0.15346726593748497,0.015346726593748496,0.030079584123747054,1.0917030567685588,0.4366812227074236,1.0917030567685588
Convergence Rate (Hamming/round),convergence_rate,Pure_Random,8,100,-0.01,0.16381397020711272,0.016381397020711272,0.03210753816059409,0.0,-0.5,0.3333333333333333
