Approach,Total_Games,Wins,Losses,Win_Rate_%,Avg_Attempts,Min_Attempts,Max_Attempts,Count_2_Attempts,Count_3_Attempts,Count_4_Attempts,Count_5_Attempts,Count_6_Attempts,Hamming_Attempt_1,Levenshtein_Attempt_1,Hamming_Attempt_2,Levenshtein_Attempt_2,Hamming_Attempt_3,Levenshtein_Attempt_3,Hamming_Attempt_4,Levenshtein_Attempt_4,Hamming_Attempt_5,Levenshtein_Attempt_5,Hamming_Attempt_6,Levenshtein_Attempt_6
Hybrid_mistral-small_VOI_ZeroShot,100,98,2,98.0,3.98,2.0,6.0,4,30,33,26,5,4.47,4.33,3.34,3.28,1.81,1.79,0.95,0.95,0.27,0.27,0.43,0.43
Hybrid_gemma-27b_CSS_CoT,100,98,2,98.0,4.0,3.0,6.0,0,29,44,21,4,4.65,4.59,3.77,3.65,1.78,1.73,0.65,0.65,0.26,0.26,0.5,0.5
Hybrid_mistral-small_CSS_ZeroShot,100,95,5,95.0,4.0,2.0,6.0,4,24,42,18,7,4.5,4.38,3.26,3.16,1.85,1.79,0.75,0.75,0.6,0.6,0.58,0.58
Hybrid_llama-3.3-70b_CSS_CoT,100,95,5,95.0,4.0,2.0,6.0,1,32,33,24,5,4.57,4.52,3.44,3.35,1.47,1.46,0.81,0.81,0.41,0.41,0.5,0.5
Hybrid_codestral-22b_CSS_ZeroShot,100,99,1,99.0,4.02,2.0,6.0,5,22,47,16,9,4.54,4.48,3.65,3.5,2.18,2.13,0.71,0.71,0.65,0.65,0.1,0.1
Hybrid_gemma-27b_VOI_CoT,100,95,5,95.0,4.05,2.0,6.0,4,18,46,23,4,4.64,4.59,3.78,3.7,2.24,2.19,0.86,0.85,0.41,0.41,0.67,0.67
Hybrid_nemotron-8b_VOI_ZeroShot,100,98,2,98.0,4.05,2.0,6.0,1,30,37,23,7,4.44,4.32,3.49,3.4,1.81,1.81,0.83,0.83,0.41,0.41,0.33,0.33
PureLLM_llama-3.1-70b_ZeroShot,100,95,5,95.0,4.07,2.0,6.0,3,23,38,26,5,4.58,4.53,3.53,3.48,2.0,1.99,0.91,0.89,0.44,0.44,0.8,0.8
Pure_Algo_voi_then_css,100,98,2,98.0,4.07,2.0,6.0,2,19,50,24,3,4.57,4.52,3.49,3.41,1.98,1.95,0.63,0.62,0.28,0.28,0.4,0.4
PureLLM_llama-3.3-70b_CoT,100,92,8,92.0,4.09,2.0,6.0,4,22,36,22,8,4.58,4.5,3.6,3.54,2.01,1.95,0.97,0.97,0.77,0.77,0.53,0.53
Hybrid_llama-3.3-70b_CSS_ZeroShot,100,96,4,96.0,4.09,2.0,6.0,2,26,35,27,6,4.58,4.53,3.57,3.49,1.82,1.79,1.04,1.04,0.38,0.38,0.5,0.5
PureLLM_mistral-7b_ZeroShot,100,98,2,98.0,4.1,2.0,6.0,3,23,41,23,8,4.58,4.45,3.62,3.56,2.18,2.14,0.96,0.95,0.52,0.52,0.3,0.3
Hybrid_mistral-small_Random_ZeroShot,100,93,7,93.0,4.1,2.0,6.0,3,27,33,18,12,4.52,4.4,3.27,3.22,1.84,1.79,0.9,0.9,0.68,0.68,0.42,0.42
Hybrid_llama-3.1-70b_CSS_ZeroShot,100,92,8,92.0,4.1,2.0,6.0,2,24,35,25,6,4.58,4.53,3.42,3.34,1.84,1.8,0.93,0.93,0.51,0.51,0.79,0.79
PureLLM_gemma-27b_ZeroShot,100,99,1,99.0,4.11,2.0,6.0,7,21,37,22,12,4.5,4.34,3.49,3.35,2.22,2.15,0.93,0.92,0.49,0.49,0.08,0.08
PureLLM_gemma-27b_CoT,100,98,2,98.0,4.11,2.0,6.0,1,22,45,25,5,4.71,4.64,3.62,3.52,2.1,2.09,0.82,0.82,0.31,0.31,0.29,0.29
Hybrid_granite-8b_CSS_CoT,100,97,3,97.0,4.11,2.0,6.0,2,25,39,22,9,4.61,4.58,3.56,3.46,2.29,2.22,0.92,0.92,0.68,0.65,0.25,0.25
Hybrid_llama-3.3-70b_VOI_CoT,100,96,4,96.0,4.11,2.0,6.0,1,26,38,23,8,4.62,4.56,3.65,3.62,1.85,1.82,0.86,0.86,0.46,0.46,0.33,0.33
Hybrid_llama-3.1-70b_Random_ZeroShot,100,88,12,88.0,4.12,2.0,6.0,3,24,33,15,13,4.58,4.53,3.65,3.59,1.98,1.9,1.11,1.11,1.02,1.02,0.6,0.6
Hybrid_llama-3.3-70b_VOI_ZeroShot,100,92,8,92.0,4.12,2.0,6.0,2,25,38,14,13,4.58,4.53,3.68,3.57,1.93,1.87,0.86,0.86,0.89,0.89,0.62,0.62
Hybrid_gemma-27b_Random_ZeroShot,100,95,5,95.0,4.12,2.0,6.0,4,17,47,18,9,4.37,4.21,3.37,3.28,2.17,2.11,0.71,0.71,0.66,0.66,0.43,0.43
PureLLM_llama-3.1-8b_ZeroShot,100,93,7,93.0,4.13,2.0,6.0,6,18,40,16,13,4.62,4.52,3.51,3.45,2.2,2.13,0.86,0.86,0.72,0.72,0.4,0.4
Hybrid_nemotron-8b_VOI_CoT,100,96,4,96.0,4.14,2.0,6.0,1,23,41,24,7,4.5,4.39,3.51,3.39,2.15,2.08,0.91,0.89,0.37,0.37,0.36,0.36
Hybrid_mistral-7b_VOI_ZeroShot,100,95,5,95.0,4.14,2.0,6.0,4,28,32,13,18,4.51,4.45,3.39,3.3,1.97,1.93,1.19,1.19,1.33,1.31,0.3,0.3
Hybrid_llama-3.1-70b_VOI_CoT,100,95,5,95.0,4.14,2.0,6.0,1,23,37,30,4,4.67,4.61,3.66,3.6,1.94,1.93,0.89,0.89,0.33,0.33,0.67,0.67
PureLLM_llama-3.1-70b_CoT,100,96,4,96.0,4.16,2.0,6.0,9,15,35,26,11,4.53,4.5,3.6,3.47,2.36,2.3,1.01,1.01,0.54,0.54,0.4,0.4
PureLLM_llama-3.1-8b_CoT,100,93,7,93.0,4.17,2.0,6.0,2,20,39,24,8,4.52,4.48,3.57,3.52,2.16,2.11,0.95,0.95,0.51,0.51,0.53,0.53
Hybrid_mistral-small_CSS_CoT,100,95,5,95.0,4.17,2.0,6.0,2,21,38,27,7,4.7,4.65,3.69,3.58,2.04,2.02,0.77,0.75,0.35,0.35,0.42,0.42
Hybrid_llama-3.3-70b_Random_CoT,100,94,6,94.0,4.17,2.0,6.0,4,17,42,21,10,4.57,4.53,3.72,3.65,2.24,2.18,0.95,0.95,0.62,0.62,0.44,0.44
Hybrid_mistral-7b_CSS_ZeroShot,100,95,5,95.0,4.17,2.0,6.0,3,21,37,25,9,4.59,4.55,3.46,3.39,2.34,2.3,0.95,0.95,0.74,0.74,0.5,0.5
Hybrid_llama-3.1-70b_Random_CoT,100,93,7,93.0,4.2,2.0,6.0,3,23,32,22,13,4.6,4.55,3.72,3.68,2.06,2.0,1.14,1.12,0.71,0.71,0.45,0.45
Hybrid_granite-8b_CSS_ZeroShot,100,98,2,98.0,4.21,2.0,6.0,2,17,43,30,6,4.67,4.57,3.51,3.42,2.14,2.11,0.84,0.81,0.29,0.29,0.25,0.25
Hybrid_mistral-small_Random_CoT,100,98,2,98.0,4.21,2.0,6.0,4,16,42,27,9,4.61,4.52,3.73,3.65,2.49,2.46,1.0,0.98,0.39,0.39,0.18,0.18
Hybrid_llama-3.1-8b_CSS_CoT,100,98,2,98.0,4.21,2.0,6.0,4,23,33,24,14,4.58,4.53,3.63,3.54,1.94,1.9,0.89,0.89,0.6,0.6,0.12,0.12
PureLLM_mistral-7b_CoT,100,95,5,95.0,4.22,2.0,6.0,2,21,35,28,9,4.64,4.6,3.81,3.76,2.23,2.21,1.14,1.14,0.57,0.55,0.57,0.57
PureLLM_mistral-small_ZeroShot,100,96,4,96.0,4.22,2.0,6.0,1,20,40,27,8,4.61,4.55,3.78,3.64,2.27,2.19,1.05,1.03,0.38,0.38,0.33,0.33
Hybrid_granite-8b_VOI_ZeroShot,100,92,8,92.0,4.23,2.0,6.0,6,11,40,26,9,4.6,4.54,3.67,3.58,2.54,2.51,1.05,1.05,0.77,0.77,0.88,0.88
Hybrid_llama-3.3-70b_Random_ZeroShot,100,92,8,92.0,4.24,2.0,6.0,2,20,36,22,12,4.58,4.53,3.67,3.57,2.23,2.17,1.09,1.09,0.67,0.67,0.55,0.55
PureLLM_granite-8b_ZeroShot,100,93,7,93.0,4.25,2.0,6.0,2,18,37,27,9,4.65,4.62,3.77,3.69,2.43,2.33,1.08,1.08,0.56,0.56,0.62,0.62
Hybrid_llama-3.1-70b_VOI_ZeroShot,100,95,5,95.0,4.25,2.0,6.0,3,19,36,25,12,4.58,4.53,3.55,3.49,2.02,1.99,1.08,1.06,0.55,0.55,0.35,0.35
Hybrid_granite-8b_VOI_CoT,100,94,6,94.0,4.26,2.0,6.0,2,19,38,23,12,4.55,4.53,3.63,3.59,2.64,2.56,0.92,0.92,0.78,0.78,0.44,0.44
Hybrid_mistral-7b_CSS_CoT,100,98,2,98.0,4.27,2.0,6.0,1,24,33,28,12,4.62,4.57,3.67,3.59,2.29,2.27,1.11,1.09,0.79,0.79,0.21,0.21
PureLLM_llama-3.3-70b_ZeroShot,100,94,6,94.0,4.27,2.0,6.0,3,19,29,36,7,4.58,4.53,3.46,3.42,2.25,2.19,0.96,0.93,0.51,0.51,0.35,0.35
Hybrid_codestral-22b_VOI_CoT,100,93,7,93.0,4.27,2.0,6.0,1,18,42,19,13,4.63,4.56,3.79,3.71,2.38,2.32,0.99,0.99,0.97,0.97,0.65,0.65
PureLLM_codestral-22b_CoT,100,95,5,95.0,4.29,2.0,6.0,2,18,36,28,11,4.53,4.51,3.79,3.7,2.27,2.19,0.98,0.95,0.57,0.52,0.31,0.31
Hybrid_codestral-22b_VOI_ZeroShot,100,94,6,94.0,4.29,2.0,6.0,1,16,40,29,8,4.46,4.41,3.72,3.63,2.51,2.46,1.13,1.12,0.6,0.6,0.57,0.57
Hybrid_granite-8b_Random_CoT,100,96,4,96.0,4.29,2.0,6.0,2,18,39,24,13,4.57,4.49,3.72,3.65,2.81,2.73,1.24,1.21,1.05,1.02,0.35,0.35
Hybrid_codestral-22b_Random_CoT,100,98,2,98.0,4.29,2.0,6.0,2,16,45,22,13,4.68,4.65,3.87,3.78,2.62,2.54,1.0,0.98,0.86,0.81,0.2,0.2
PureLLM_mistral-small_CoT,100,100,0,100.0,4.3,2.0,6.0,3,18,34,36,9,4.67,4.62,3.78,3.72,2.39,2.37,1.16,1.16,0.29,0.29,0.0,0.0
PureLLM_gpt-oss-120b_ZeroShot,100,89,11,89.0,4.3,2.0,6.0,2,17,35,22,13,4.6,4.58,3.78,3.72,2.51,2.45,1.33,1.32,0.91,0.91,0.58,0.58
Hybrid_mistral-7b_Random_CoT,100,89,11,89.0,4.31,1.0,6.0,1,17,36,18,16,4.6,4.58,3.79,3.75,2.62,2.57,1.37,1.36,1.24,1.22,0.81,0.81
Hybrid_llama-3.1-8b_Random_CoT,100,94,6,94.0,4.31,2.0,6.0,3,15,38,26,12,4.61,4.57,3.66,3.59,2.56,2.53,1.1,1.1,0.7,0.7,0.44,0.44
Hybrid_llama-3.1-8b_VOI_CoT,100,93,7,93.0,4.31,2.0,6.0,1,20,35,23,14,4.64,4.61,3.73,3.65,2.26,2.19,1.2,1.16,0.93,0.93,0.33,0.33
Hybrid_mistral-7b_VOI_CoT,100,95,5,95.0,4.31,2.0,6.0,4,14,39,25,13,4.67,4.58,3.79,3.74,2.57,2.57,1.23,1.23,0.77,0.77,0.39,0.39
PureLLM_nemotron-8b_CoT,100,93,7,93.0,4.31,2.0,6.0,1,16,38,29,9,4.61,4.58,3.83,3.74,2.56,2.51,1.28,1.27,0.6,0.58,0.56,0.56
Hybrid_codestral-22b_CSS_CoT,100,97,3,97.0,4.32,2.0,6.0,1,22,33,27,14,4.62,4.58,3.75,3.67,2.18,2.12,1.06,1.05,0.5,0.5,0.18,0.18
PureLLM_gpt-oss-20b_CoT,100,94,6,94.0,4.33,2.0,6.0,1,20,29,35,9,4.71,4.63,3.87,3.79,2.57,2.48,1.34,1.34,0.54,0.54,0.47,0.47
Hybrid_llama-3.1-8b_CSS_ZeroShot,100,95,5,95.0,4.33,2.0,6.0,3,14,43,19,16,4.58,4.53,3.35,3.29,2.12,2.07,0.73,0.73,0.78,0.75,0.33,0.33
Hybrid_granite-8b_Random_ZeroShot,100,93,7,93.0,4.33,1.0,6.0,2,14,35,25,15,4.48,4.41,3.64,3.57,2.54,2.47,1.07,1.06,0.77,0.74,0.36,0.36
PureLLM_granite-8b_CoT,100,96,4,96.0,4.34,3.0,6.0,0,19,31,40,6,4.67,4.62,3.9,3.84,2.47,2.44,1.38,1.35,0.32,0.32,0.4,0.4
PureLLM_codestral-22b_ZeroShot,100,94,6,94.0,4.34,2.0,6.0,2,20,27,34,11,4.57,4.5,3.63,3.56,2.46,2.43,1.5,1.49,0.51,0.51,0.53,0.53
Hybrid_nemotron-8b_Random_ZeroShot,100,92,8,92.0,4.34,2.0,6.0,2,26,21,25,18,4.64,4.62,3.78,3.69,2.37,2.31,1.62,1.61,0.86,0.84,0.42,0.42
Hybrid_nemotron-8b_Random_CoT,100,93,7,93.0,4.34,2.0,6.0,1,16,37,28,11,4.56,4.52,3.71,3.62,2.51,2.44,1.22,1.18,0.57,0.57,0.5,0.5
Hybrid_llama-3.1-8b_Random_ZeroShot,100,90,10,90.0,4.34,2.0,6.0,3,16,37,15,19,4.58,4.53,3.69,3.63,2.38,2.3,1.14,1.14,1.2,1.16,0.48,0.48
PureLLM_gpt-oss-20b_ZeroShot,100,96,4,96.0,4.36,2.0,6.0,2,16,39,23,16,4.54,4.53,3.63,3.56,2.29,2.28,1.12,1.11,0.74,0.74,0.35,0.35
Hybrid_gemma-27b_Random_CoT,100,94,6,94.0,4.36,2.0,6.0,3,15,34,29,13,4.7,4.66,3.91,3.84,2.46,2.42,1.23,1.21,0.69,0.69,0.53,0.53
Hybrid_mistral-7b_Random_ZeroShot,100,91,9,91.0,4.37,3.0,6.0,0,13,42,25,11,4.54,4.49,3.75,3.69,2.6,2.55,1.09,1.06,0.96,0.96,0.85,0.85
PureLLM_gpt-oss-120b_CoT,100,92,8,92.0,4.37,2.0,6.0,2,15,32,33,10,4.72,4.68,3.8,3.72,2.5,2.47,1.43,1.39,0.71,0.71,0.67,0.67
Hybrid_llama-3.1-8b_VOI_ZeroShot,100,96,4,96.0,4.38,2.0,6.0,2,13,45,19,17,4.58,4.53,3.64,3.56,2.43,2.35,0.84,0.82,0.85,0.85,0.24,0.24
Pure_Algo_random,100,91,9,91.0,4.44,2.0,6.0,1,15,33,27,15,4.64,4.62,3.86,3.75,2.37,2.33,1.3,1.3,0.71,0.71,0.46,0.46
Hybrid_mistral-small_VOI_CoT,100,97,3,97.0,4.44,2.0,6.0,1,13,41,26,16,4.64,4.59,3.88,3.81,2.54,2.46,1.13,1.1,0.51,0.51,0.16,0.16
PureLLM_nemotron-8b_ZeroShot,100,93,7,93.0,4.47,3.0,6.0,0,15,34,29,15,4.65,4.6,3.97,3.94,2.66,2.62,1.33,1.27,0.71,0.71,0.45,0.45
Hybrid_codestral-22b_Random_ZeroShot,100,98,2,98.0,4.59,2.0,6.0,3,9,34,31,21,4.57,4.54,3.79,3.69,2.76,2.72,1.44,1.43,0.72,0.72,0.09,0.09
Pure_Algo_pure_random,100,0,100,0.0,,,,0,0,0,0,0,4.51,4.46,4.58,4.54,4.59,4.48,4.67,4.65,4.57,4.53,4.57,4.52
