game_number,target_word,won,attempts,guess_1,feedback_1,hamming_1,levenshtein_1,strategy_1,guess_2,feedback_2,hamming_2,levenshtein_2,strategy_2,guess_3,feedback_3,hamming_3,levenshtein_3,strategy_3,guess_4,feedback_4,hamming_4,levenshtein_4,strategy_4,guess_5,feedback_5,hamming_5,levenshtein_5,strategy_5,guess_6,feedback_6,hamming_6,levenshtein_6,strategy_6,total_violations
12,MEANS,True,4,TEAMS,-GGYG,2,2,CSS,MEALS,GGG-G,1,1,LLM,MEARS,GGG-G,1.0,1.0,CSS,MEANS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
13,TRUTH,True,4,SAINT,----Y,5,5,CSS,CRANE,-G---,4,4,LLM,PROTO,-G-G-,3.0,3.0,CSS,TRUTH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
14,FIRED,True,5,SORTA,--G--,4,4,CSS,PERKY,-YG--,4,4,LLM,HIRED,-GGGG,1.0,1.0,CSS,WIRED,-GGGG,1.0,1.0,LLM,FIRED,GGGGG,0.0,0.0,CSS,,,,,,0
15,FOLKS,True,4,RAISE,---Y-,5,5,CSS,CLOUD,-YY--,5,5,LLM,BOLTS,-GG-G,2.0,2.0,CSS,FOLKS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
16,CHILE,True,4,PALES,--YY-,5,4,CSS,CRANE,G---G,3,3,LLM,COYLE,G--GG,2.0,2.0,CSS,CHILE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
17,BLACK,True,3,SORTA,----Y,5,5,CSS,CRANE,Y-G--,4,4,LLM,BLACK,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
18,GRANT,True,2,CRATE,-GGY-,3,3,CSS,GRANT,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
19,MEALS,True,3,RAPES,-Y-YG,4,4,CSS,LEADS,YGG-G,2,2,LLM,MEALS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
20,CREAM,True,4,SOLAR,---GY,4,4,CSS,BREAK,-GGG-,2,2,LLM,TREAD,-GGG-,2.0,2.0,CSS,CREAM,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
21,AWAKE,True,4,LURES,---Y-,5,5,CSS,TRAIN,--G--,4,4,LLM,PEAKE,--GGG,2.0,2.0,CSS,AWAKE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
22,OCCUR,True,4,MEARS,---Y-,5,5,CSS,TRAIN,-Y---,5,5,LLM,CURLY,YYY--,5.0,4.0,CSS,OCCUR,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
23,YEARS,False,6,ROLES,Y--YG,4,4,CSS,PERKS,-GY-G,3,3,LLM,BEARS,-GGGG,1.0,1.0,CSS,TEARS,-GGGG,1.0,1.0,LLM,HEARS,-GGGG,1.0,1.0,CSS,FEARS,-GGGG,1.0,1.0,LLM,0
24,GRADE,True,6,LOIRE,---YG,4,4,CSS,VERSE,--Y-G,4,4,LLM,TRACE,-GG-G,2.0,2.0,CSS,BRAKE,-GG-G,2.0,2.0,LLM,GRAPE,GGG-G,1.0,1.0,CSS,GRADE,GGGGG,0.0,0.0,LLM,0
25,CHILL,True,4,EINAR,-Y---,5,5,CSS,STARE,-----,5,5,LLM,CHILD,GGGG-,1.0,1.0,CSS,CHILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
26,FLOOD,True,5,ARIES,-----,5,5,CSS,STARE,-----,5,5,LLM,LOONY,YYG--,4.0,3.0,CSS,BLOOM,-GGG-,2.0,2.0,LLM,FLOOD,GGGGG,0.0,0.0,CSS,,,,,,4
27,APPLY,True,5,RULES,--Y--,5,5,CSS,STARE,--Y--,5,5,LLM,LABAN,YY---,5.0,5.0,CSS,VOILA,---GY,4.0,4.0,LLM,APPLY,GGGGG,0.0,0.0,CSS,,,,,,4
28,SMILE,True,3,ARNIE,---YG,4,4,CSS,SLICE,GYG-G,2,2,LLM,SMILE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
29,KNOCK,True,4,REINS,---Y-,5,5,CSS,ADIEU,-----,5,5,LLM,COLON,YY--Y,5.0,5.0,CSS,KNOCK,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
30,SLEEP,True,3,SONIA,G----,4,4,CSS,STARE,G---Y,4,4,LLM,SLEEP,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
31,BRICK,True,5,SANTI,----Y,5,5,CSS,CRANE,YG---,4,4,LLM,FRICK,-GGGG,1.0,1.0,CSS,PRICK,-GGGG,1.0,1.0,LLM,BRICK,GGGGG,0.0,0.0,CSS,,,,,,3
32,WROTE,True,4,SLAIN,-----,5,5,CSS,CRANE,-G--G,3,3,LLM,TROPE,YGG-G,2.0,2.0,CSS,WROTE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
33,RATED,True,3,ARNIE,YY--Y,5,4,CSS,PIOUS,-----,5,5,LLM,RATED,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,4
34,ALERT,True,4,CATER,-YYYY,5,3,CSS,HEART,-YYGG,3,3,LLM,AVERT,G-GGG,1.0,1.0,CSS,ALERT,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
35,CAGES,True,6,DARES,-G-GG,2,2,CSS,LAKES,-G-GG,2,2,LLM,GATES,YG-GG,2.0,2.0,CSS,WAGES,-GGGG,1.0,1.0,LLM,PAGES,-GGGG,1.0,1.0,CSS,CAGES,GGGGG,0.0,0.0,LLM,0
36,TEDDY,True,5,SAITO,---Y-,5,5,CSS,THEME,G-Y--,4,4,LLM,TUBER,G--Y-,4.0,4.0,CSS,TELLY,GG--G,2.0,2.0,LLM,TEDDY,GGGGG,0.0,0.0,CSS,,,,,,0
37,COLES,True,6,AIDES,---GG,3,3,CSS,ROSES,-G-GG,2,2,LLM,MOLES,-GGGG,1.0,1.0,CSS,HOLES,-GGGG,1.0,1.0,LLM,POLES,-GGGG,1.0,1.0,CSS,COLES,GGGGG,0.0,0.0,LLM,0
38,HWANG,True,4,AROSE,Y----,5,5,CSS,TRAIN,--G-Y,4,4,LLM,CHANG,-YGGG,2.0,2.0,CSS,HWANG,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
39,WRATH,True,3,ANISE,Y----,5,5,CSS,ROATE,Y-GG-,3,3,LLM,WRATH,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
40,MACHO,True,5,MATES,GG---,3,3,CSS,MARIN,GG---,3,3,LLM,MAGMA,GG---,3.0,3.0,CSS,MADLY,GG---,3.0,3.0,LLM,MACHO,GGGGG,0.0,0.0,CSS,,,,,,0
41,LOPEZ,True,3,LATER,G--G-,3,3,CSS,LOVES,GG-G-,2,2,LLM,LOPEZ,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
42,GOODY,True,4,NEARS,-----,5,5,CSS,ADIEU,-Y---,5,5,LLM,GOWDY,GG-GG,1.0,1.0,CSS,GOODY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
43,BROTH,True,5,SARIN,--Y--,5,5,CSS,CLOUD,--G--,4,4,LLM,TROPE,YGG--,3.0,3.0,CSS,FROTH,-GGGG,1.0,1.0,LLM,BROTH,GGGGG,0.0,0.0,CSS,,,,,,1
44,VERDE,True,5,MILNE,----G,4,4,CSS,CRANE,-Y--G,4,4,LLM,TERSE,-GG-G,2.0,2.0,CSS,VERGE,GGG-G,1.0,1.0,LLM,VERDE,GGGGG,0.0,0.0,CSS,,,,,,1
45,TAMED,True,5,TRIES,G--G-,3,3,CSS,TOKEN,G--G-,3,3,LLM,TAPED,GG-GG,1.0,1.0,CSS,TAXED,GG-GG,1.0,1.0,LLM,TAMED,GGGGG,0.0,0.0,CSS,,,,,,0
46,LEAFS,True,5,SORTA,Y---Y,5,5,CSS,CLOUD,-Y---,5,5,LLM,MALES,-YYYG,4.0,4.0,CSS,LEANS,GGG-G,1.0,1.0,LLM,LEAFS,GGGGG,0.0,0.0,CSS,,,,,,3
47,YACHT,True,3,HANES,YG---,4,4,CSS,WATCH,-GYYY,4,3,LLM,YACHT,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
48,MESSY,True,4,RAINS,----Y,5,5,CSS,STARE,Y---Y,5,5,LLM,POSED,--GY-,4.0,4.0,CSS,MESSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
49,RYDER,True,3,RAILS,G----,4,4,CSS,RHONE,G---Y,4,4,LLM,RYDER,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
50,MOTIF,True,3,REAMS,---Y-,5,5,CSS,MOUND,GG---,3,3,LLM,MOTIF,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
51,RAVEN,True,2,PANES,-GYG-,3,3,CSS,RAVEN,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
52,REICH,True,4,SNAIL,---Y-,5,5,CSS,CRANE,YY--Y,5,5,LLM,MERCI,-GYGY,3.0,3.0,CSS,REICH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
53,ICONS,True,3,ALTER,-----,5,5,CSS,CRANE,Y--G-,4,4,LLM,ICONS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,3
54,SILKY,True,4,CARNE,-----,5,5,CSS,SLATE,GY---,4,4,LLM,SILLS,GGG--,2.0,2.0,CSS,SILKY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
55,CARVE,True,4,SIENA,--Y-Y,5,5,CSS,ROAST,Y-Y--,5,5,LLM,LARGE,-GG-G,2.0,2.0,CSS,CARVE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
56,LAGER,True,6,LEANS,GYY--,4,4,CSS,LAYER,GG-GG,1,1,LLM,LAVER,GG-GG,1.0,1.0,CSS,LATER,GG-GG,1.0,1.0,LLM,LAZER,GG-GG,1.0,1.0,CSS,LAGER,GGGGG,0.0,0.0,LLM,0
57,JERKS,True,5,SLOAN,Y----,5,5,CSS,CRANE,-Y--Y,5,5,LLM,RESET,YGY--,4.0,4.0,CSS,HERBS,-GG-G,2.0,2.0,LLM,JERKS,GGGGG,0.0,0.0,CSS,,,,,,3
58,LOTUS,True,3,BALES,--Y-G,4,4,CSS,CLOTS,-YYYG,4,2,LLM,LOTUS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
59,LACEY,True,5,KAREL,-G-GY,3,3,CSS,SALES,-GYG-,3,3,LLM,LADEN,GG-G-,2.0,2.0,CSS,LATEX,GG-G-,2.0,2.0,LLM,LACEY,GGGGG,0.0,0.0,CSS,,,,,,0
60,TUDOR,True,5,HEALS,-----,5,5,CSS,CRANE,-Y---,5,5,LLM,GORDO,-YYY-,5.0,4.0,CSS,FJORD,--YYY,5.0,4.0,LLM,TUDOR,GGGGG,0.0,0.0,CSS,,,,,,2
61,QUOTA,True,4,MARIE,-Y---,5,5,CSS,TRAIN,Y-Y--,5,5,LLM,BLOAT,--GYY,4.0,4.0,CSS,QUOTA,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
62,MOURN,True,4,AIRES,--Y--,5,5,CSS,STARE,---G-,4,4,LLM,GOURD,-GGG-,2.0,2.0,CSS,MOURN,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
63,PROMO,True,6,SATIN,-----,5,5,CSS,CLOUD,--G--,4,4,LLM,GROPE,-GGY-,3.0,3.0,CSS,PROXY,GGG--,2.0,2.0,LLM,PROVO,GGG-G,1.0,1.0,CSS,PROMO,GGGGG,0.0,0.0,LLM,0
64,CASTE,True,6,SNORE,Y---G,4,4,CSS,PAUSE,-G-YG,3,3,LLM,WASTE,-GGGG,1.0,1.0,CSS,HASTE,-GGGG,1.0,1.0,LLM,TASTE,-GGGG,1.0,1.0,CSS,CASTE,GGGGG,0.0,0.0,LLM,0
65,CAPRI,True,3,TALES,-G---,4,4,CSS,CRANE,GYY--,4,4,LLM,CAPRI,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,2
66,ALIAS,True,3,LEAST,Y-YY-,5,3,CSS,SALAL,YYYG-,4,3,LLM,ALIAS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
67,PADDY,True,5,LEANS,--Y--,5,5,CSS,CRANE,--Y--,5,5,LLM,BAHIA,-G---,4.0,4.0,CSS,GAMUT,-G---,4.0,4.0,LLM,PADDY,GGGGG,0.0,0.0,CSS,,,,,,3
68,BLOBS,True,5,REALS,---YG,4,4,CSS,TILTS,--Y-G,4,4,LLM,BLOGS,GGG-G,1.0,1.0,CSS,BLOWS,GGG-G,1.0,1.0,LLM,BLOBS,GGGGG,0.0,0.0,CSS,,,,,,0
69,DILLY,True,3,ALIEN,-YY--,5,5,CSS,SOLID,--GYY,4,4,LLM,DILLY,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
70,GUTSY,True,4,SCALE,Y----,5,5,CSS,TRACE,Y----,5,5,LLM,POTUS,--GYY,4.0,4.0,CSS,GUTSY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,4
71,TABOR,True,6,LANES,-G---,4,4,CSS,CRANE,-YY--,5,5,LLM,MARIA,-GY--,4.0,4.0,CSS,VAPOR,-G-GG,2.0,2.0,LLM,GABOR,-GGGG,1.0,1.0,CSS,TABOR,GGGGG,0.0,0.0,LLM,3
72,INLAY,True,4,SIENA,-Y-YY,5,4,CSS,BRAIN,--YYY,5,5,LLM,KANDI,-YY-Y,5.0,5.0,CSS,INLAY,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
73,AHHHH,True,4,LASER,-Y---,5,5,CSS,TRAIN,--Y--,5,5,LLM,MOCHA,---GY,4.0,4.0,CSS,AHHHH,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
74,ROUEN,True,3,CARTS,--Y--,5,5,CSS,PIOUS,--YY-,5,4,LLM,ROUEN,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,2
75,BUENA,True,5,RANTS,-YY--,5,5,CSS,CRANE,--YGY,4,4,LLM,ELENA,--GGG,2.0,2.0,CSS,HYENA,--GGG,2.0,2.0,LLM,BUENA,GGGGG,0.0,0.0,CSS,,,,,,1
76,MENON,True,5,HARES,---Y-,5,5,CSS,CRANE,---YY,5,5,LLM,LEVIN,-G--G,3.0,3.0,CSS,DEMON,-GYGG,2.0,2.0,LLM,MENON,GGGGG,0.0,0.0,CSS,,,,,,2
77,TRASK,True,5,DOERS,---YY,5,5,CSS,CRISP,-G-G-,3,3,LLM,TRUST,GG-G-,2.0,2.0,CSS,TRASH,GGGG-,1.0,1.0,LLM,TRASK,GGGGG,0.0,0.0,CSS,,,,,,0
78,CASIO,True,5,EARLS,-G--Y,4,4,CSS,PASTY,-GG--,3,3,LLM,MASAI,-GG-Y,3.0,3.0,CSS,BASIN,-GGG-,2.0,2.0,LLM,CASIO,GGGGG,0.0,0.0,CSS,,,,,,0
79,VOILA,True,3,RAINS,-YG--,4,4,CSS,ALIKE,YYG--,4,4,LLM,VOILA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
80,AURAL,True,4,SPIRE,---Y-,5,5,CSS,CRANE,-YY--,5,4,LLM,MARLA,-YGYY,4.0,4.0,CSS,AURAL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
81,LEGER,True,5,TILES,--YG-,4,4,CSS,BLEED,-YYG-,4,3,LLM,LEPER,GG-GG,1.0,1.0,CSS,LEVER,GG-GG,1.0,1.0,LLM,LEGER,GGGGG,0.0,0.0,CSS,,,,,,0
82,DALLY,False,6,AILES,Y-G--,4,4,CSS,TALON,-GG--,3,3,LLM,MALAY,-GG-G,2.0,2.0,CSS,WALLY,-GGGG,1.0,1.0,LLM,LALLY,-GGGG,1.0,1.0,CSS,RALLY,-GGGG,1.0,1.0,LLM,0
83,INIGO,True,4,ADORE,--Y--,5,5,CSS,PILOT,-Y-Y-,5,4,LLM,COINS,-YGY-,4.0,4.0,CSS,INIGO,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
84,KRILL,True,4,SPEAR,----Y,5,5,CSS,CRANE,-G---,4,4,LLM,DRIFT,-GG--,3.0,3.0,CSS,KRILL,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
85,SNIDE,True,3,ARISE,--GYG,3,3,CSS,SPINE,G-GYG,2,2,LLM,SNIDE,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,0
86,LEWES,True,2,REALS,-G-YG,3,3,CSS,LEWES,GGGGG,0,0,LLM,,,,,,,,,,,,,,,,,,,,,0
87,TAMER,True,4,REALS,YYY--,5,5,CSS,CRANE,-YY-Y,5,4,LLM,MATER,YGYGG,2.0,2.0,CSS,TAMER,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
88,COTTA,True,3,SARIN,-Y---,5,5,CSS,TRACE,Y-YY-,5,5,LLM,COTTA,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,1
89,CORBY,True,5,HEARS,---Y-,5,5,CSS,ROAST,YG---,4,4,LLM,GORDO,-GG--,3.0,3.0,CSS,CORKY,GGG-G,1.0,1.0,LLM,CORBY,GGGGG,0.0,0.0,CSS,,,,,,2
90,POLIS,True,3,RITES,-Y--G,4,4,CSS,SALVO,Y-G-Y,4,4,LLM,POLIS,GGGGG,0.0,0.0,CSS,,,,,,,,,,,,,,,,2
91,ROXAS,True,4,AIRES,Y-Y-G,4,4,CSS,CRABS,-YY-G,4,4,LLM,RANTS,GY--G,3.0,3.0,CSS,ROXAS,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
92,RANCE,True,4,SADIE,-G--G,3,3,CSS,GARBE,-GY-G,3,3,LLM,FAVRE,-G-YG,3.0,3.0,CSS,RANCE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
93,CARON,True,4,MORES,-YG--,4,4,CSS,ARROW,Y-GG-,3,3,LLM,CAROL,GGGG-,1.0,1.0,CSS,CARON,GGGGG,0.0,0.0,LLM,,,,,,,,,,,0
94,SURYA,True,4,GALES,-Y--Y,5,5,CSS,CRANE,-YY--,5,5,LLM,SUTRA,GG-YG,2.0,2.0,CSS,SURYA,GGGGG,0.0,0.0,LLM,,,,,,,,,,,2
95,AGGIE,True,4,LASER,-Y-Y-,5,5,CSS,CRANE,--Y-G,4,4,LLM,ADOBE,G---G,3.0,3.0,CSS,AGGIE,GGGGG,0.0,0.0,LLM,,,,,,,,,,,1
96,CAUSA,True,4,HOARE,--Y--,5,5,CSS,CRANE,G-Y--,4,4,LLM,CALMS,GG--Y,3.0,3.0,CSS,CAUSA,GGGGG,0.0,0.0,LLM,,,,,,,,,,,3
97,BAMBA,True,5,SADIE,-G---,4,4,CSS,TRACE,--Y--,5,5,LLM,MALAY,YG-Y-,4.0,4.0,CSS,HAMZA,-GG-G,2.0,2.0,LLM,BAMBA,GGGGG,0.0,0.0,CSS,,,,,,2
98,MAYNE,True,5,LASER,-G-Y-,4,4,CSS,MAIZE,GG--G,2,2,LLM,MAUDE,GG--G,2.0,2.0,CSS,MAYBE,GGG-G,1.0,1.0,LLM,MAYNE,GGGGG,0.0,0.0,CSS,,,,,,0
99,BOGGS,True,6,SIREN,Y----,5,5,CSS,CRANE,-----,5,5,LLM,BOLTS,GG--G,2.0,2.0,CSS,BOOMS,GG--G,2.0,2.0,LLM,BOGUS,GGG-G,1.0,1.0,CSS,BOGGS,GGGGG,0.0,0.0,LLM,4
100,FINNS,True,6,TIERS,-G--G,3,3,CSS,LINKS,-GG-G,2,2,LLM,MINDS,-GG-G,2.0,2.0,CSS,PINUS,-GG-G,2.0,2.0,LLM,SINGS,-GG-G,2.0,2.0,CSS,FINNS,GGGGG,0.0,0.0,LLM,0
